nombre,semestre,documento,correo,seccional
 Valentina ﻿Apellidos  Romero,1,1528329368,.valentina.﻿apellidos..romero0054@udea.edu.co,Sede Distrito Minero
 José  Ferrer  Cabrera,1,6476298663,.josé..ferrer..cabrera0055@udea.edu.co,Seccional Urabá
 Sara  Alonso  Domínguez,1,4978527602,.sara..alonso..domínguez0056@udea.edu.co,Sede Norte
 Tomás  Gutiérrez  García,1,2054036260,.tomás..gutiérrez..garcía0057@udea.edu.co,Ciudad Universitaria
 Matías  Moya  Herrera,1,2977070116,.matías..moya..herrera0058@udea.edu.co,Seccional Suroeste
 Juliana  Medina  Ochoa,1,2322141077,.juliana..medina..ochoa0059@udea.edu.co,Seccional Magdalena Medio
 Natalia  Ramos  Ramírez,1,0212682170,.natalia..ramos..ramírez0060@udea.edu.co,Sede Sonsón
 Agustín  Rivas  Vázquez,1,9087361806,.agustín..rivas..vázquez0061@udea.edu.co,Sede Distrito Minero
 Jimena  Vicente  Marín,1,9010659278,.jimena..vicente..marín0062@udea.edu.co,Seccional Occidente
 Leonardo  Esteban  Pastor,1,4496922181,.leonardo..esteban..pastor0063@udea.edu.co,Ciudad Universitaria
 Sebastián  Rodríguez  Gómez,1,1519566259,.sebastián..rodríguez..gómez0064@udea.edu.co,Seccional Urabá
 Francisco  Muñoz  León,1,2285718368,.francisco..muñoz..león0065@udea.edu.co,Sede Nordeste
 Valentina  Ortega  González,1,3458545351,.valentina..ortega..gonzález0066@udea.edu.co,Seccional Occidente
 Diego  Muñoz  Molina,1,1445838954,.diego..muñoz..molina0067@udea.edu.co,Seccional Oriente
 Lucas  Pérez  Iglesias,1,4597999307,.lucas..pérez..iglesias0068@udea.edu.co,Sede Distrito Minero
 Isabella  Hidalgo  Gallego,1,7876622369,.isabella..hidalgo..gallego0069@udea.edu.co,Sede Norte
 Laura  Cabello  Molina,1,5121301826,.laura..cabello..molina0070@udea.edu.co,Seccional Suroeste
 Valeria  Reyes  Hidalgo,1,9609844284,.valeria..reyes..hidalgo0071@udea.edu.co,Seccional Urabá
 Alejandro  Romero  Carretero,1,2889589945,.alejandro..romero..carretero0072@udea.edu.co,Sede Norte
 Diego  Marín  Arias,1,9317274548,.diego..marín..arias0073@udea.edu.co,Seccional Occidente
 Isabel  Varela  Molina,1,2760033226,.isabel..varela..molina0074@udea.edu.co,Sede Distrito Minero
 Alejandra  Ríos  León,1,9257332776,.alejandra..ríos..león0075@udea.edu.co,Sede Nordeste
 Isabella  Ortega  Ortega,1,7848876061,.isabella..ortega..ortega0076@udea.edu.co,Seccional Occidente
 Catalina  Rubio  Vicente,1,1778996869,.catalina..rubio..vicente0077@udea.edu.co,Sede Sonsón
 Paula  Rivas  Vega,1,5567185947,.paula..rivas..vega0078@udea.edu.co,Sede Nordeste
 Antonia  Soto  Ramos,1,9871077875,.antonia..soto..ramos0079@udea.edu.co,Ciudad Universitaria
 Eduardo  Ríos  Medina,1,1563345335,.eduardo..ríos..medina0080@udea.edu.co,Sede Nordeste
 Catalina  Sánchez  Marín,1,2029311975,.catalina..sánchez..marín0081@udea.edu.co,Seccional Urabá
 Lucas  Rodríguez  Cabrera,1,4326037713,.lucas..rodríguez..cabrera0082@udea.edu.co,Seccional Oriente
 María José  Oliva  Navarro,1,8156782362,.maría.josé..oliva..navarro0083@udea.edu.co,Seccional Suroeste
 Samuel  Gómez ﻿Apellidos,1,1195166027,.samuel..gómez.﻿apellidos0084@udea.edu.co,Seccional Oriente
 Tomás  Oliva  Llorente,1,3604152661,.tomás..oliva..llorente0085@udea.edu.co,Sede Sonsón
 Catalina  Ruiz  Peralta,1,0100683163,.catalina..ruiz..peralta0086@udea.edu.co,Sede Norte
 Laura  Marín  Linares,1,8829742655,.laura..marín..linares0087@udea.edu.co,Seccional Bajo Cauca
﻿Nombre  Luque  Cabrera,1,2181974719,﻿nombre..luque..cabrera0088@udea.edu.co,Seccional Oriente
 Adriana  Serrano  Ramírez,1,8117693993,.adriana..serrano..ramírez0089@udea.edu.co,Seccional Urabá
 Daniela  Rubio  Ferrer,1,9195441380,.daniela..rubio..ferrer0090@udea.edu.co,Sede Nordeste
 Mauricio  Cervantes  Mesa,1,9165817369,.mauricio..cervantes..mesa0091@udea.edu.co,Sede Distrito Minero
 David  Vega  Ramírez,1,6489589741,.david..vega..ramírez0092@udea.edu.co,Sede Norte
 Miguel  Nieto  Ramos,1,4974698008,.miguel..nieto..ramos0093@udea.edu.co,Seccional Suroeste
 Sebastián  Robles  Gil,1,3983463750,.sebastián..robles..gil0094@udea.edu.co,Seccional Urabá
 Pablo  Correa  Garrido,1,1936336891,.pablo..correa..garrido0095@udea.edu.co,Ciudad Universitaria
 Manuel  Serrano  García,1,8824208774,.manuel..serrano..garcía0096@udea.edu.co,Seccional Suroeste
 Emilio  Gil  Cortés,1,8327604349,.emilio..gil..cortés0097@udea.edu.co,Sede Norte
 Natalia  Santana  Herrera,1,2741171337,.natalia..santana..herrera0098@udea.edu.co,Sede Sonsón
 Gabriela  Suárez  Soto,1,6080237259,.gabriela..suárez..soto0099@udea.edu.co,Seccional Magdalena Medio
 Mariana  Cervantes  Carretero,1,7884490393,.mariana..cervantes..carretero0100@udea.edu.co,Sede Distrito Minero
 Jimena  Herrero  Soler,1,8655230256,.jimena..herrero..soler0101@udea.edu.co,Sede Norte
 Antonella  Molina  Hidalgo,1,6310768887,.antonella..molina..hidalgo0102@udea.edu.co,Sede Nordeste
 Daniela ﻿Apellidos  Luque,1,3995879731,.daniela.﻿apellidos..luque0103@udea.edu.co,Seccional Urabá
 Marcela  Cervantes  Fernández,1,8037796130,.marcela..cervantes..fernández0104@udea.edu.co,Ciudad Universitaria
 Camila  Molina  Álvarez,1,7782556497,.camila..molina..álvarez0105@udea.edu.co,Sede Sonsón
 Lucía  Gil  Carretero,1,5494511138,.lucía..gil..carretero0106@udea.edu.co,Sede Nordeste
 Mateo  Cervantes  Vicente,1,0536816138,.mateo..cervantes..vicente0107@udea.edu.co,Sede Norte
 Samantha  Díaz  Alonso,1,8938047391,.samantha..díaz..alonso0108@udea.edu.co,Seccional Oriente
 Daniela  Moya  Serrano,1,0437294957,.daniela..moya..serrano0109@udea.edu.co,Seccional Bajo Cauca
 Francisco  Fernández  Sánchez,1,7994203552,.francisco..fernández..sánchez0110@udea.edu.co,Sede Nordeste
 Valentina  Rivas  Esteban,1,8896814069,.valentina..rivas..esteban0111@udea.edu.co,Seccional Suroeste
 Antonella  Iglesias  Moya,1,1153276350,.antonella..iglesias..moya0112@udea.edu.co,Ciudad Universitaria
 Marcela  Ramos ﻿Apellidos,1,8999650408,.marcela..ramos.﻿apellidos0113@udea.edu.co,Sede Norte
 Simón  Cabrera  Peralta,1,6179280863,.simón..cabrera..peralta0114@udea.edu.co,Sede Nordeste
 Sofía  Ochoa  Blanco,1,8435164408,.sofía..ochoa..blanco0115@udea.edu.co,Ciudad Universitaria
 Santiago  Álvarez  Moya,1,0754990341,.santiago..álvarez..moya0116@udea.edu.co,Sede Sonsón
 Valentina  Cabello  Cervantes,1,9350986107,.valentina..cabello..cervantes0117@udea.edu.co,Ciudad Universitaria
 Valentina  Benítez  Rodríguez,1,1676795834,.valentina..benítez..rodríguez0118@udea.edu.co,Seccional Oriente
 Felipe  Lucas  Peralta,1,0810835398,.felipe..lucas..peralta0119@udea.edu.co,Ciudad Universitaria
 Valeria  Herrera  Cordero,1,4967529576,.valeria..herrera..cordero0120@udea.edu.co,Seccional Magdalena Medio
 Manuel  Rubio  Calvo,1,5494188502,.manuel..rubio..calvo0121@udea.edu.co,Seccional Magdalena Medio
 Tomás  Cruz  Calvo,1,6915567152,.tomás..cruz..calvo0122@udea.edu.co,Seccional Suroeste
 Valentina  Vidal  Reyes,1,4445379423,.valentina..vidal..reyes0123@udea.edu.co,Seccional Suroeste
 Clara  Herrero  González,1,7889455130,.clara..herrero..gonzález0124@udea.edu.co,Seccional Magdalena Medio
 Christian  Ochoa  Mesa,1,8219364687,.christian..ochoa..mesa0125@udea.edu.co,Seccional Magdalena Medio
 Felipe  Vázquez  Santana,1,8909892252,.felipe..vázquez..santana0126@udea.edu.co,Ciudad Universitaria
 Daniela  Moya  Abad,1,7097239997,.daniela..moya..abad0127@udea.edu.co,Seccional Oriente
 Mauricio  Prieto  Lucas,1,3590739142,.mauricio..prieto..lucas0128@udea.edu.co,Seccional Occidente
 Diego  Oliva  García,1,7547222012,.diego..oliva..garcía0129@udea.edu.co,Seccional Urabá
 Andrés  Navarro  Robles,1,5843570000,.andrés..navarro..robles0130@udea.edu.co,Sede Nordeste
 David  Ochoa  Cabello,1,0800127417,.david..ochoa..cabello0131@udea.edu.co,Sede Sonsón
 Catalina  Varela  Vidal,1,7466008619,.catalina..varela..vidal0132@udea.edu.co,Seccional Bajo Cauca
 Esteban  Soler  Iglesias,1,5765206842,.esteban..soler..iglesias0133@udea.edu.co,Seccional Bajo Cauca
 Andrés  Luque  Ortega,1,0978236005,.andrés..luque..ortega0134@udea.edu.co,Sede Sonsón
 Andrea  Cabrera  Ochoa,1,6465235613,.andrea..cabrera..ochoa0135@udea.edu.co,Seccional Oriente
 Elizabeth  Cabrera  Torres,1,9313284093,.elizabeth..cabrera..torres0136@udea.edu.co,Ciudad Universitaria
 Juan Pablo  Ramos  Cabello,1,3823036204,.juan.pablo..ramos..cabello0137@udea.edu.co,Sede Distrito Minero
 Antonia  Santana  Linares,1,7119584239,.antonia..santana..linares0138@udea.edu.co,Seccional Bajo Cauca
 Leonardo  Cabrera  Vidal,1,7048052234,.leonardo..cabrera..vidal0139@udea.edu.co,Sede Nordeste
 Samuel  Pastor  Castro,2,3315740762,.samuel..pastor..castro0140@udea.edu.co,Seccional Suroeste
 Valentina  Bravo  Serrano,2,0476653853,.valentina..bravo..serrano0141@udea.edu.co,Seccional Suroeste
 Alejandra  Cordero  Aguilar,2,9365251886,.alejandra..cordero..aguilar0142@udea.edu.co,Sede Sonsón
 Elena  Oliva  Rubio,2,5477920023,.elena..oliva..rubio0143@udea.edu.co,Seccional Bajo Cauca
 Sofía  Ruiz  Suárez,2,2251404283,.sofía..ruiz..suárez0144@udea.edu.co,Seccional Bajo Cauca
 Mariana  Vázquez  Llorente,2,0759851009,.mariana..vázquez..llorente0145@udea.edu.co,Seccional Urabá
 Tomás  Suárez  Blanco,2,0388566748,.tomás..suárez..blanco0146@udea.edu.co,Seccional Oriente
 Sara  Ramírez  Cabrera,2,8499367210,.sara..ramírez..cabrera0147@udea.edu.co,Ciudad Universitaria
 Emma  Molina  Bravo,2,4070195307,.emma..molina..bravo0148@udea.edu.co,Sede Distrito Minero
 Daniela  Robles  Molina,2,0762516555,.daniela..robles..molina0149@udea.edu.co,Seccional Bajo Cauca
 Natalia  Robles  Pérez,2,3608868861,.natalia..robles..pérez0150@udea.edu.co,Seccional Urabá
 Laura  Carretero  Ferrer,2,7659770854,.laura..carretero..ferrer0151@udea.edu.co,Sede Sonsón
 Alexander  Amaya  Blanco,2,8637335981,.alexander..amaya..blanco0152@udea.edu.co,Seccional Occidente
 Diego  Fernández  Molina,2,6662453847,.diego..fernández..molina0153@udea.edu.co,Seccional Oriente
 Mateo  Santana  Bravo,2,7283854564,.mateo..santana..bravo0154@udea.edu.co,Sede Norte
 Felipe  Muñoz  Vidal,2,8993663860,.felipe..muñoz..vidal0155@udea.edu.co,Seccional Bajo Cauca
 Emily  Suárez  Rivas,2,3831134721,.emily..suárez..rivas0156@udea.edu.co,Seccional Oriente
 Isabella ﻿Apellidos  Vega,2,2456011128,.isabella.﻿apellidos..vega0157@udea.edu.co,Sede Sonsón
 Andrés  Cabrera  Esteban,2,4412836661,.andrés..cabrera..esteban0158@udea.edu.co,Sede Sonsón
 Mauricio  Robles  Suárez,2,8248882610,.mauricio..robles..suárez0159@udea.edu.co,Seccional Suroeste
 Mateo  Suárez  Gil,2,0942656409,.mateo..suárez..gil0160@udea.edu.co,Sede Nordeste
 Laura  Luque  Linares,2,0408949139,.laura..luque..linares0161@udea.edu.co,Sede Nordeste
 Catalina  Torres  Pascual,2,3476076180,.catalina..torres..pascual0162@udea.edu.co,Seccional Urabá
 Agustín  Llorente  Ríos,2,6446924188,.agustín..llorente..ríos0163@udea.edu.co,Seccional Magdalena Medio
 Javier  Moya  Herrero,2,2411123954,.javier..moya..herrero0164@udea.edu.co,Seccional Bajo Cauca
 Emilio  Medina  Cordero,2,0602073665,.emilio..medina..cordero0165@udea.edu.co,Seccional Magdalena Medio
 Felipe  Alonso  Medina,2,8479983671,.felipe..alonso..medina0166@udea.edu.co,Sede Nordeste
 Valentina  Suárez  Cordero,2,6419678817,.valentina..suárez..cordero0167@udea.edu.co,Sede Sonsón
 Tomás  Suárez  Garrido,2,2329736228,.tomás..suárez..garrido0168@udea.edu.co,Seccional Oriente
 Eduardo  Ferrer  Casado,2,4933128877,.eduardo..ferrer..casado0169@udea.edu.co,Sede Distrito Minero
 Valeria  Pérez  Vega,2,0798987148,.valeria..pérez..vega0170@udea.edu.co,Seccional Magdalena Medio
 Camila  Bravo  Pastor,2,6631216386,.camila..bravo..pastor0171@udea.edu.co,Seccional Suroeste
 Juan  Vázquez  Rodríguez,2,5283105852,.juan..vázquez..rodríguez0172@udea.edu.co,Ciudad Universitaria
 Gabriel  González  Ramos,2,7252670427,.gabriel..gonzález..ramos0173@udea.edu.co,Seccional Bajo Cauca
 Simón  Miranda  Aguilar,2,9473905246,.simón..miranda..aguilar0174@udea.edu.co,Seccional Suroeste
 Andrés  Ruiz  García,2,9102427039,.andrés..ruiz..garcía0175@udea.edu.co,Seccional Oriente
 Sofia  Rubio  Benítez,2,1429486071,.sofia..rubio..benítez0176@udea.edu.co,Sede Sonsón
 Carolina  Robles  Molina,2,4770144103,.carolina..robles..molina0177@udea.edu.co,Seccional Urabá
 Valentina  Guerra  Varela,2,5278310790,.valentina..guerra..varela0178@udea.edu.co,Sede Distrito Minero
 Paula  López  Prieto,2,3024380481,.paula..lópez..prieto0179@udea.edu.co,Sede Norte
 Samantha  López  Mesa,2,3930928207,.samantha..lópez..mesa0180@udea.edu.co,Seccional Oriente
 Simón  Serrano  Guerrero,2,1629284713,.simón..serrano..guerrero0181@udea.edu.co,Seccional Oriente
 Jennifer  Nieto  Bravo,2,0778236426,.jennifer..nieto..bravo0182@udea.edu.co,Seccional Occidente
 Javier  Domínguez  Cabrera,2,7735293115,.javier..domínguez..cabrera0183@udea.edu.co,Ciudad Universitaria
 Emma  Romero  Calvo,2,5103433673,.emma..romero..calvo0184@udea.edu.co,Ciudad Universitaria
 Christian  Cabello  Varela,2,3241525051,.christian..cabello..varela0185@udea.edu.co,Sede Norte
 Esteban  Gil  Garrido,2,3068091065,.esteban..gil..garrido0186@udea.edu.co,Sede Nordeste
 Andrés  Rodríguez  Iglesias,2,7800630175,.andrés..rodríguez..iglesias0187@udea.edu.co,Seccional Suroeste
 Juan David  Pérez  Guerrero,2,1708399650,.juan.david..pérez..guerrero0188@udea.edu.co,Seccional Magdalena Medio
 Javier  Pascual  Molina,2,0368144497,.javier..pascual..molina0189@udea.edu.co,Sede Nordeste
 Lucas  Garrido  Calvo,2,1597427356,.lucas..garrido..calvo0190@udea.edu.co,Seccional Occidente
 Sebastián  Martínez  Soler,2,4569821968,.sebastián..martínez..soler0191@udea.edu.co,Seccional Magdalena Medio
 Camila  Rivas ﻿Apellidos,2,0288549825,.camila..rivas.﻿apellidos0192@udea.edu.co,Sede Sonsón
 Catalina  Cervantes  Ortiz,2,9676016247,.catalina..cervantes..ortiz0193@udea.edu.co,Seccional Urabá
 Isabella  González  Medina,2,8672321101,.isabella..gonzález..medina0194@udea.edu.co,Sede Distrito Minero
 Christian  Cordero  Ortega,2,6849274133,.christian..cordero..ortega0195@udea.edu.co,Seccional Oriente
 Mateo  Linares  Serrano,2,0162409837,.mateo..linares..serrano0196@udea.edu.co,Seccional Oriente
 Marcela  Amaya  Soler,2,0783350701,.marcela..amaya..soler0197@udea.edu.co,Seccional Occidente
 Andrea  Pascual  Ortega,2,2472333858,.andrea..pascual..ortega0198@udea.edu.co,Sede Distrito Minero
 Tomás  Cordero  Ortega,2,0433989205,.tomás..cordero..ortega0199@udea.edu.co,Sede Distrito Minero
 Paula  Reyes  Castro,2,3823350539,.paula..reyes..castro0200@udea.edu.co,Seccional Urabá
 Carlos  Mesa  Vega,2,3432152246,.carlos..mesa..vega0201@udea.edu.co,Sede Sonsón
 Camila  Prieto ﻿Apellidos,2,6408979937,.camila..prieto.﻿apellidos0202@udea.edu.co,Sede Norte
 Lucas  González  Mesa,2,3141017483,.lucas..gonzález..mesa0203@udea.edu.co,Seccional Occidente
 Victoria  Luque  Cortés,2,3093772575,.victoria..luque..cortés0204@udea.edu.co,Seccional Magdalena Medio
 Daniela  Mesa  Delgado,2,6266916013,.daniela..mesa..delgado0205@udea.edu.co,Seccional Occidente
 Benjamín  Cruz  Linares,2,3962806076,.benjamín..cruz..linares0206@udea.edu.co,Seccional Suroeste
 Catalina  Herrera  Cruz,2,1793514984,.catalina..herrera..cruz0207@udea.edu.co,Seccional Occidente
 Alexander  Alonso  Cortés,2,6414810848,.alexander..alonso..cortés0208@udea.edu.co,Seccional Suroeste
 Elizabeth  Gutiérrez  Martínez,2,6186525732,.elizabeth..gutiérrez..martínez0209@udea.edu.co,Sede Sonsón
 Andrés  Suárez  Reyes,2,7599519059,.andrés..suárez..reyes0210@udea.edu.co,Sede Nordeste
 Marcela  Herrera  Gil,2,5694152298,.marcela..herrera..gil0211@udea.edu.co,Sede Norte
 Tomás  Medina  Blanco,2,1367405851,.tomás..medina..blanco0212@udea.edu.co,Seccional Suroeste
 Sebastián  Álvarez  Cervantes,2,6143889700,.sebastián..álvarez..cervantes0213@udea.edu.co,Sede Nordeste
 Mateo  Luque  Molina,2,3249667228,.mateo..luque..molina0214@udea.edu.co,Seccional Urabá
 Sebastián  González  Lucas,2,4054949104,.sebastián..gonzález..lucas0215@udea.edu.co,Ciudad Universitaria
 Sebastián  Robles  Rivas,2,1159472212,.sebastián..robles..rivas0216@udea.edu.co,Sede Norte
 Ricardo  Iglesias  Peralta,2,7853048355,.ricardo..iglesias..peralta0217@udea.edu.co,Seccional Bajo Cauca
 Simón  Casado  García,2,1149614139,.simón..casado..garcía0218@udea.edu.co,Seccional Oriente
 Tomás  Cordero  Santana,2,9290450063,.tomás..cordero..santana0219@udea.edu.co,Sede Distrito Minero
 Valentina  Carretero  León,2,7748561303,.valentina..carretero..león0220@udea.edu.co,Ciudad Universitaria
 Mateo  Correa  Ramos,2,2314948258,.mateo..correa..ramos0221@udea.edu.co,Seccional Occidente
 Leonardo  Martínez  Cruz,2,9692492707,.leonardo..martínez..cruz0222@udea.edu.co,Seccional Suroeste
 Valeria  Iglesias  Pastor,2,7052198043,.valeria..iglesias..pastor0223@udea.edu.co,Sede Distrito Minero
 Mariana  Llorente  Pascual,2,3769279804,.mariana..llorente..pascual0224@udea.edu.co,Sede Nordeste
 Valeria  Suárez  Herrera,2,6395738770,.valeria..suárez..herrera0225@udea.edu.co,Sede Norte
 Lucía  Hidalgo  Gil,2,0483426539,.lucía..hidalgo..gil0226@udea.edu.co,Sede Norte
 Alexander  Guerra  Serrano,2,1380727013,.alexander..guerra..serrano0227@udea.edu.co,Sede Distrito Minero
 Antonia  García  Ruiz,2,8780089138,.antonia..garcía..ruiz0228@udea.edu.co,Sede Nordeste
 Andrea  Ortega  López,2,4716758887,.andrea..ortega..lópez0229@udea.edu.co,Seccional Oriente
 Victoria  Álvarez  Medina,2,2567045486,.victoria..álvarez..medina0230@udea.edu.co,Seccional Magdalena Medio
 Fernanda  Iglesias  Cabrera,2,6061628495,.fernanda..iglesias..cabrera0231@udea.edu.co,Sede Norte
 Paula  Medina  Ríos,2,8082814321,.paula..medina..ríos0232@udea.edu.co,Sede Norte
 Gabriela  Moreno  Prieto,2,4145413717,.gabriela..moreno..prieto0233@udea.edu.co,Seccional Oriente
 Emma  Ortega  González,2,7028405499,.emma..ortega..gonzález0234@udea.edu.co,Sede Sonsón
 Juan David  Vicente  Esteban,2,1203658016,.juan.david..vicente..esteban0235@udea.edu.co,Sede Sonsón
 Lucas  Ferrer  Herrero,2,4116297160,.lucas..ferrer..herrero0236@udea.edu.co,Sede Distrito Minero
 Sebastián  Cruz  Guerrero,2,6499477777,.sebastián..cruz..guerrero0237@udea.edu.co,Seccional Urabá
 Cristóbal  Romero  Linares,2,6819227586,.cristóbal..romero..linares0238@udea.edu.co,Sede Distrito Minero
 Javier  Herrera  Cabrera,2,8105248816,.javier..herrera..cabrera0239@udea.edu.co,Seccional Occidente
 Mariana  Varela  Ramos,2,4709302314,.mariana..varela..ramos0240@udea.edu.co,Sede Norte
 Juan David  Miranda  Alonso,2,7352869177,.juan.david..miranda..alonso0241@udea.edu.co,Sede Nordeste
 Lucía  Carretero  Correa,2,9973485173,.lucía..carretero..correa0242@udea.edu.co,Sede Distrito Minero
 Elizabeth  Rubio  Abad,2,2750553118,.elizabeth..rubio..abad0243@udea.edu.co,Seccional Magdalena Medio
 Gabriel  Cabrera  Vidal,2,6646431470,.gabriel..cabrera..vidal0244@udea.edu.co,Sede Distrito Minero
 Camila  Ochoa  Suárez,2,2015684065,.camila..ochoa..suárez0245@udea.edu.co,Seccional Suroeste
 Tomás  Prieto  Linares,2,9956841527,.tomás..prieto..linares0246@udea.edu.co,Seccional Oriente
 Victoria  Molina  Ortega,2,1576781393,.victoria..molina..ortega0247@udea.edu.co,Seccional Urabá
 Natalia  León  Guerrero,2,3842753029,.natalia..león..guerrero0248@udea.edu.co,Sede Norte
 Juliana  Garrido  Ramos,2,7882614647,.juliana..garrido..ramos0249@udea.edu.co,Sede Distrito Minero
 Sara  Marín  Cervantes,2,7767746475,.sara..marín..cervantes0250@udea.edu.co,Seccional Occidente
